"Fungal","Male","est","day","lower","upper","Treatment","Sex"
0,1,0.969472840803629,18,0.952972635955947,0.982662269763732,"Control","Male"
0,1,0.968155764269049,19,0.950494146790229,0.982044763695646,"Control","Male"
1,0,1,1,1,1,"GHA","Female"
1,0,0.997008154567446,2,0.993164788555556,0.999034298417341,"GHA","Female"
1,0,0.989043849284109,3,0.982417693477561,0.995204003490811,"GHA","Female"
1,0,0.984076135030873,4,0.976067105127699,0.991830796300414,"GHA","Female"
1,0,0.94843433930435,5,0.933592350501532,0.96169323035137,"GHA","Female"
1,0,0.867989955432001,6,0.84357083347623,0.889285998226194,"GHA","Female"
1,0,0.73335167430296,7,0.698611496707795,0.764629702120451,"GHA","Female"
1,0,0.589490692546669,8,0.551792755111289,0.628476957568192,"GHA","Female"
1,0,0.516020276103885,9,0.482705263144109,0.553027720549825,"GHA","Female"
1,0,0.434304723128992,10,0.402269224698144,0.467853378847735,"GHA","Female"
1,0,0.360600709669877,11,0.328561617856052,0.394560827312565,"GHA","Female"
1,0,0.304400306276485,12,0.273777148467777,0.336876102084176,"GHA","Female"
1,0,0.250116047514346,13,0.220716028491387,0.28169845244175,"GHA","Female"
1,0,0.214124749089675,14,0.186453149933474,0.243440854808673,"GHA","Female"
1,0,0.178752056629497,15,0.153144883677821,0.206903921334285,"GHA","Female"
1,0,0.153762307320226,16,0.129700590066311,0.180730487897744,"GHA","Female"
1,0,0.13253125394377,17,0.109529619369143,0.15757563943439,"GHA","Female"
1,0,0.112594999624226,18,0.0915266717841604,0.136115232198632,"GHA","Female"
1,0,0.103587298222207,19,0.082712175535458,0.12674374421914,"GHA","Female"
1,1,1,1,1,1,"GHA","Male"
1,1,0.998637657307572,2,0.996935929979028,0.999583499691709,"GHA","Male"
1,1,0.99500019812472,3,0.991804543495104,0.997867896269271,"GHA","Male"
1,1,0.992723253182159,4,0.988673787570522,0.996348068058874,"GHA","Male"
1,1,0.976199896878477,5,0.968544610680717,0.983115756262833,"GHA","Male"
1,1,0.937616822546285,6,0.924790904263851,0.949319121124242,"GHA","Male"
1,1,0.868399820831534,7,0.849072518325624,0.888730056139581,"GHA","Male"
1,1,0.786269632092268,8,0.757644496360041,0.816221946071978,"GHA","Male"
1,1,0.655111369925968,9,0.623641043796711,0.690279265265399,"GHA","Male"
1,1,0.517210273895254,10,0.482848728837295,0.553357213910606,"GHA","Male"
1,1,0.400807836128035,11,0.36922166672114,0.437382251781941,"GHA","Male"
1,1,0.317729660753912,12,0.287593155233942,0.353164321785607,"GHA","Male"
1,1,0.242721745556446,13,0.212901276950794,0.274006383633199,"GHA","Male"
1,1,0.19615641686381,14,0.168395225580684,0.226809160374469,"GHA","Male"
1,1,0.153142710216518,15,0.128020941825095,0.180008686983208,"GHA","Male"
1,1,0.124575580966506,16,0.101598865292302,0.149411652070674,"GHA","Male"
1,1,0.101615904334792,17,0.0794574898933181,0.124790803952112,"GHA","Male"
1,1,0.0812639058591173,18,0.0624965669251665,0.102064629373159,"GHA","Male"
1,1,0.0724854930029743,19,0.0552721830989875,0.0924477134048863,"GHA","Male"
