"","Fungal","Male","Diet","day","est","lower","upper","Treatment","Sex"
"30",0,1,"CY/C",3,0.987475866271188,0.981319148001554,0.992950781247403,"Control","Male"
"31",0,1,"CY/C",4,0.984248477489693,0.976258817455867,0.99118497041609,"Control","Male"
"32",0,1,"CY/C",5,0.983373500745813,0.97531238926436,0.9905998347256,"Control","Male"
"33",0,1,"CY/C",6,0.981751482845915,0.973699609359624,0.989239645034085,"Control","Male"
"34",0,1,"CY/C",7,0.97887229431623,0.970551935936058,0.987114534617502,"Control","Male"
"35",0,1,"CY/C",8,0.974772770909092,0.965896897897143,0.983678751427492,"Control","Male"
"36",0,1,"CY/C",9,0.969645476125087,0.959045399430515,0.980627038204848,"Control","Male"
"37",0,1,"CY/C",10,0.965762457105736,0.955025908957697,0.977193933496026,"Control","Male"
"38",0,1,"CY/C",11,0.961337073296097,0.949967375349305,0.974246325681938,"Control","Male"
"39",0,1,"CY/C",12,0.956440799325493,0.944015369152578,0.971399921880429,"Control","Male"
"40",0,0,"CY/C",0,1,NA,NA,"Control","Female"
"41",0,0,"CY/C",1,0.993005172588241,0.987525050564498,0.99642918806503,"Control","Female"
"42",0,0,"CY/C",2,0.990364771713183,0.983546669039867,0.994883838462085,"Control","Female"
"43",0,0,"CY/C",3,0.9884123469684,0.980427094961953,0.993879631443019,"Control","Female"
"44",0,0,"CY/C",4,0.985424497173181,0.975013756512516,0.992274799937572,"Control","Female"
"45",0,0,"CY/C",5,0.984238185066431,0.973406335052871,0.991159970726857,"Control","Female"
"46",0,0,"CY/C",6,0.982040008212159,0.970847696508069,0.989701405828981,"Control","Female"
"47",0,0,"CY/C",7,0.978141269778645,0.966600663226056,0.98655957896393,"Control","Female"
"48",0,0,"CY/C",8,0.972597075002496,0.959886625912125,0.982452692253312,"Control","Female"
"49",0,0,"CY/C",9,0.96567454763559,0.950859996589912,0.977735205848325,"Control","Female"
"50",0,0,"CY/C",10,0.962934201063895,0.947733434926635,0.975033963598294,"Control","Female"
"51",0,0,"CY/C",11,0.959807170569865,0.944144984599243,0.973141961468384,"Control","Female"
"52",0,0,"CY/C",12,0.956342504561771,0.939788859181658,0.970475608489778,"Control","Female"
"53",0,1,"C/CY",0,1,NA,NA,"Control","Male"
"54",0,1,"C/CY",1,0.99416474359677,0.991003870468959,0.997066383126221,"Control","Male"
"55",0,1,"C/CY",2,0.991960281728109,0.987313532768251,0.995914544717239,"Control","Male"
"56",0,1,"C/CY",3,0.990329580436263,0.985133078288632,0.995070731438158,"Control","Male"
"57",0,1,"C/CY",4,0.987833035486809,0.981157575921151,0.993704967145939,"Control","Male"
