Replicate,Population,Cage_Number,Treatment,Day,Mating_status,Sex,Death
2,H3,3,Control,4,Mated,F,1
2,H3,3,Control,6,Mated,F,1
2,H3,3,Control,21,Mated,F,1
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,3,Control,21,Mated,F,0
2,H3,4,Control,4,Mated,M,1
2,H3,4,Control,4,Mated,M,1
2,H3,4,Control,21,Mated,M,1
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
2,H3,4,Control,21,Mated,M,0
