"","Treatment","Diet","Sex","day","est","lower","upper"
"98","Control","C","M",6,0.98804478632987,0.984035599622787,0.991029205329571
"99","Control","C","M",7,0.985789431407191,0.981752008559266,0.988860543301732
"100","Control","C","M",8,0.983467997701443,0.9795045340921,0.986701257062469
"101","Control","C","M",9,0.980501175198766,0.976180312237688,0.984277240645326
"102","Control","C","M",10,0.978050560579257,0.973584691581385,0.981793700187853
"103","Control","C","M",11,0.974859893658712,0.970508314245437,0.978914085868117
"104","Control","C","M",12,0.971591135918714,0.967018430633608,0.976136077541958
"105","Fungal","CY0.5","F",0,1,1,1
"106","Fungal","CY0.5","F",1,0.993877616093457,0.991532968704231,0.995511477871973
"107","Fungal","CY0.5","F",2,0.991049103267944,0.988098481356014,0.993196166968361
"108","Fungal","CY0.5","F",3,0.98768822792998,0.983971365528485,0.990401407705077
"109","Fungal","CY0.5","F",4,0.984711396247869,0.980289706922664,0.987950317460723
"110","Fungal","CY0.5","F",5,0.972446712051604,0.966294442015097,0.977376037027132
"111","Fungal","CY0.5","F",6,0.953531082539925,0.946276366398618,0.959806989000236
"112","Fungal","CY0.5","F",7,0.915693170405145,0.904584847057201,0.925629136525459
"113","Fungal","CY0.5","F",8,0.878229084719068,0.864219552596345,0.892371112549859
"114","Fungal","CY0.5","F",9,0.832452499653993,0.814698630529045,0.851569365905549
"115","Fungal","CY0.5","F",10,0.798766442694238,0.778949495249342,0.819185495015434
"116","Fungal","CY0.5","F",11,0.756824444507386,0.733461053162913,0.781803134144177
"117","Fungal","CY0.5","F",12,0.71600744362527,0.690138608844637,0.747179627399623
"118","Fungal","CY1.0","F",0,1,1,1
"119","Fungal","CY1.0","F",1,0.996309406701677,0.994862683418964,0.997320045928057
"120","Fungal","CY1.0","F",2,0.994601315514477,0.992701849722295,0.995915214102925
"121","Fungal","CY1.0","F",3,0.992569215562933,0.990404292889394,0.99437899778537
"122","Fungal","CY1.0","F",4,0.990767022432502,0.987864912728512,0.992919334829106
"123","Fungal","CY1.0","F",5,0.983318921664801,0.979424941210286,0.987052616030255
"124","Fungal","CY1.0","F",6,0.971758126462902,0.966135188708213,0.976423347217469
"125","Fungal","CY1.0","F",7,0.948354897727575,0.939257373899209,0.956317041725711
"126","Fungal","CY1.0","F",8,0.924800554307988,0.913232450854746,0.934573228889113
"127","Fungal","CY1.0","F",9,0.895469907616317,0.881710909615145,0.909668432198993
"128","Fungal","CY1.0","F",10,0.873474256848416,0.858472901104669,0.88923890100347
"129","Fungal","CY1.0","F",11,0.845564762174101,0.829860117811827,0.864720920347063
"130","Fungal","CY1.0","F",12,0.817806428494415,0.801579407526536,0.840489654164097
"131","Fungal","CY1.5","F",0,1,1,1
"132","Fungal","CY1.5","F",1,0.995694441427088,0.994181636176101,0.996797935630986
"133","Fungal","CY1.5","F",2,0.993702631007633,0.99174749549045,0.995296103932158
"134","Fungal","CY1.5","F",3,0.991333736952846,0.989048023488978,0.993300544096822
"135","Fungal","CY1.5","F",4,0.98923353124454,0.986065589512315,0.991642571622956
"136","Fungal","CY1.5","F",5,0.980560580615205,0.976115874174655,0.984192090770313
"137","Fungal","CY1.5","F",6,0.967120338080906,0.960762512427972,0.972172121802129
"138","Fungal","CY1.5","F",7,0.939994365810493,0.931057339637853,0.947619957362149
"139","Fungal","CY1.5","F",8,0.912805893925459,0.902349528042099,0.924073430212025
"140","Fungal","CY1.5","F",9,0.879111519134224,0.866011742228184,0.895021271581073
"141","Fungal","CY1.5","F",10,0.853963758627299,0.837223224889357,0.871247646322543
"142","Fungal","CY1.5","F",11,0.822206869440457,0.804626068946175,0.842657262429767
"143","Fungal","CY1.5","F",12,0.790795141040289,0.769876902013026,0.815966546884517
